Index,Date Time,Sigma,train_loss_last_value,val_loss_last_value,Learning Rate,Epochs,Seed,Training Time,Training Set Size,Image Path,Numpy Path,Last 100 Train Losses,Last 100 Val Losses,Train Val Loss File Path,Last 100 Train Loss File Path,Last 100 Val Loss File Path
11,2024-04-13_13-49,0.8,5.372347085412508,5.391610858052313,0.0001,30000,123,26076.35944,1743,./Images_Plots/symlog_sig_0.8_eph_30000_lr_0.0001_2024-04-13_13-49.png,./Images_Plots/symlog_sig_0.8_eph_30000_lr_0.0001_2024-04-13_13-49.npy,5.372347085412508,5.391610858052313,results/Loss_sigma_0.8_epochs_30000_lr_0.0001_2024-04-13_13-49.npy,results/Loss_sigma_0.8_epochs_30000_lr_0.0001_2024-04-13_13-49_last100trainLoss.npy,results/Loss_sigma_0.8_epochs_30000_lr_0.0001_2024-04-13_13-49_last100valLoss.npy
12,2024-04-13_20-00,0.006,-22.23120846042548,140.25898000708935,0.0001,30000,123,33094.31915,1743,./Images_Plots/symlog_sig_0.006_eph_30000_lr_0.0001_2024-04-13_20-00.png,./Images_Plots/symlog_sig_0.006_eph_30000_lr_0.0001_2024-04-13_20-00.npy,-22.23120846042548,140.25898000708935,results/Loss_sigma_0.006_epochs_30000_lr_0.0001_2024-04-13_20-00.npy,results/Loss_sigma_0.006_epochs_30000_lr_0.0001_2024-04-13_20-00_last100trainLoss.npy,results/Loss_sigma_0.006_epochs_30000_lr_0.0001_2024-04-13_20-00_last100valLoss.npy
13,2024-04-13_21-03,2.0,11.369769505404593,11.371629339935959,0.0001,30000,123,25984.28887,1743,./Images_Plots/symlog_sig_2.0_eph_30000_lr_0.0001_2024-04-13_21-03.png,./Images_Plots/symlog_sig_2.0_eph_30000_lr_0.0001_2024-04-13_21-03.npy,11.369769505404593,11.371629339935959,results/Loss_sigma_2.0_epochs_30000_lr_0.0001_2024-04-13_21-03.npy,results/Loss_sigma_2.0_epochs_30000_lr_0.0001_2024-04-13_21-03_last100trainLoss.npy,results/Loss_sigma_2.0_epochs_30000_lr_0.0001_2024-04-13_21-03_last100valLoss.npy
14,2024-04-14_04-19,3.0,14.160709562651638,14.161538981424856,0.0001,30000,123,26181.49243,1743,./Images_Plots/symlog_sig_3.0_eph_30000_lr_0.0001_2024-04-14_04-19.png,./Images_Plots/symlog_sig_3.0_eph_30000_lr_0.0001_2024-04-14_04-19.npy,14.160709562651638,14.161538981424856,results/Loss_sigma_3.0_epochs_30000_lr_0.0001_2024-04-14_04-19.npy,results/Loss_sigma_3.0_epochs_30000_lr_0.0001_2024-04-14_04-19_last100trainLoss.npy,results/Loss_sigma_3.0_epochs_30000_lr_0.0001_2024-04-14_04-19_last100valLoss.npy
15,2024-04-14_05-08,0.03,-14.233956122038084,-1.0500869934193358,0.0001,30000,123,32902.89444,1743,./Images_Plots/symlog_sig_0.03_eph_30000_lr_0.0001_2024-04-14_05-08.png,./Images_Plots/symlog_sig_0.03_eph_30000_lr_0.0001_2024-04-14_05-08.npy,-14.233956122038084,-1.0500869934193358,results/Loss_sigma_0.03_epochs_30000_lr_0.0001_2024-04-14_05-08.npy,results/Loss_sigma_0.03_epochs_30000_lr_0.0001_2024-04-14_05-08_last100trainLoss.npy,results/Loss_sigma_0.03_epochs_30000_lr_0.0001_2024-04-14_05-08_last100valLoss.npy
16,2024-04-14_11-36,4.0,16.15792353218855,16.158393069011485,0.0001,30000,123,26224.21777,1743,./Images_Plots/symlog_sig_4.0_eph_30000_lr_0.0001_2024-04-14_11-36.png,./Images_Plots/symlog_sig_4.0_eph_30000_lr_0.0001_2024-04-14_11-36.npy,16.15792353218855,16.158393069011485,results/Loss_sigma_4.0_epochs_30000_lr_0.0001_2024-04-14_11-36.npy,results/Loss_sigma_4.0_epochs_30000_lr_0.0001_2024-04-14_11-36_last100trainLoss.npy,results/Loss_sigma_4.0_epochs_30000_lr_0.0001_2024-04-14_11-36_last100valLoss.npy
17,2024-04-14_18-54,5.0,17.712262293614494,17.71256379198454,0.0001,30000,123,26259.23741,1743,./Images_Plots/symlog_sig_5.0_eph_30000_lr_0.0001_2024-04-14_18-54.png,./Images_Plots/symlog_sig_5.0_eph_30000_lr_0.0001_2024-04-14_18-54.npy,17.712262293614494,17.71256379198454,results/Loss_sigma_5.0_epochs_30000_lr_0.0001_2024-04-14_18-54.npy,results/Loss_sigma_5.0_epochs_30000_lr_0.0001_2024-04-14_18-54_last100trainLoss.npy,results/Loss_sigma_5.0_epochs_30000_lr_0.0001_2024-04-14_18-54_last100valLoss.npy
18,2024-04-15_01-32,0.02,-16.521743801178175,19.512313197132965,0.0001,30000,123,32701.4633,1743,./Images_Plots/symlog_sig_0.02_eph_30000_lr_0.0001_2024-04-15_01-32.png,./Images_Plots/symlog_sig_0.02_eph_30000_lr_0.0001_2024-04-15_01-32.npy,-16.521743801178175,19.512313197132965,results/Loss_sigma_0.02_epochs_30000_lr_0.0001_2024-04-15_01-32.npy,results/Loss_sigma_0.02_epochs_30000_lr_0.0001_2024-04-15_01-32_last100trainLoss.npy,results/Loss_sigma_0.02_epochs_30000_lr_0.0001_2024-04-15_01-32_last100valLoss.npy
19,2024-04-15_11-00,0.003,-24.015810698084863,870.2367900742173,0.0001,30000,123,34069.56318,1743,./Images_Plots/symlog_sig_0.003_eph_30000_lr_0.0001_2024-04-15_11-00.png,./Images_Plots/symlog_sig_0.003_eph_30000_lr_0.0001_2024-04-15_11-00.npy,-24.015810698084863,870.2367900742173,results/Loss_sigma_0.003_epochs_30000_lr_0.0001_2024-04-15_11-00.npy,results/Loss_sigma_0.003_epochs_30000_lr_0.0001_2024-04-15_11-00_last100trainLoss.npy,results/Loss_sigma_0.003_epochs_30000_lr_0.0001_2024-04-15_11-00_last100valLoss.npy
20,2024-04-15_19-53,0.4,1.077358934746467,1.7553386711349463,0.0001,30000,42,24810.25919,1743,./Images_Plots/symlog_sig_0.4_eph_30000_lr_0.0001_2024-04-15_19-53.png,./Images_Plots/symlog_sig_0.4_eph_30000_lr_0.0001_2024-04-15_19-53.npy,1.077358934746467,1.7553386711349463,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-15_19-53.npy,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-15_19-53_last100trainLoss.npy,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-15_19-53_last100valLoss.npy
